source,path,status,sha256
generator script,script/paper_submodule_readonly_policy_r409.py,tracked_clean,661eea225ab2aa98890cab1df87fc5b4618de8ccd416c18ceef4bba1fc24c8c8
AGENTS instructions,CLAUDE.md,tracked_clean,3b6c950b04959b84099ff635528ba68a2984e6779f4966919974c56506b33e84
CLAUDE instructions,CLAUDE.md,tracked_clean,3b6c950b04959b84099ff635528ba68a2984e6779f4966919974c56506b33e84
idea story,docs/idea-story.md,tracked_dirty_allowed,2379bd85e4936c0b1c8ef03c58e7fc1b2d0955a34923f27423471dcac52dd759
evaluation ledger,docs/evaluation.md,tracked_dirty_allowed,a871b24ea60dcdd0fb0995a8635de36bf3cedc8e221b728eed90dbf58a4f1dd3
implementation ledger,docs/implementation.md,tracked_clean,ce05850d0654ba7dd1c97b99b2e708cb02ab518afc0615df51618bc556c9b18c
R397 anti-run-ledger report,docs/visexp/out/paper-main-body-run-ledger-r397/main-body-run-ledger-report.json,tracked_dirty_allowed,85b9a3bee90eeb1ce9b270893d99f4ecfc89dd5f1221ebfe44fbd06bca3d7de6
R397 run result,docs/visexp/out/paper-main-body-run-ledger-r397/run-result.json,tracked_dirty_allowed,37294206a92091f8aea59d17f5a2ae0f205590d64e57a61a99ed20b1a36de559
R398 current organization report,docs/visexp/out/paper-current-three-plus-one-r398/current-three-plus-one-report.json,tracked_dirty_allowed,f55b3b7373f7869b3fce52beb8b70988312c9588ce864bc99c98c48d36654650
R398 run result,docs/visexp/out/paper-current-three-plus-one-r398/run-result.json,tracked_dirty_allowed,f5376f59351c1bd448cb059f590b5d3bf75332347601622260113bfa09d650ef
R399 PDF freshness report,docs/visexp/out/paper-pdf-freshness-r399/pdf-freshness-report.json,tracked_clean,c81d4b87a534088da8dcf9cf45641e0209eca8cdc3552f97d40b4957b18f42b4
R399 run result,docs/visexp/out/paper-pdf-freshness-r399/run-result.json,tracked_clean,075c2ca6377e8e8bfa297b9079e90dc08a11bbbefc5d39b21c1bf6f2cecf2eb3
R405 English gap audit,docs/visexp/out/paper-english-experiment-gap-audit-r405/english-experiment-gap-audit.json,tracked_clean,67c21b1dbfa2e983438b6615f496977b880371dc261306c574f48519f760c0a0
R405 run result,docs/visexp/out/paper-english-experiment-gap-audit-r405/run-result.json,tracked_clean,b577893859c51c0afb357fa3b6113bf715981784afa6b40646f3665c5964399e
English paper submodule gitlink,docs/agentpprof-paper,tracked_dirty_allowed,submodule_head=138b7a3ad3b6ae794ebf6c86ea94e8feaf8da86e;parent_index=b6672cbf3e2316af67b5312ca3f1d1dee32b9ab4
