baseline_kind,rank,weight,semantic_variant_count,top_semantic_variants,baseline_stack
nonsemantic_without_session_prompt,1,309,19,session:flamegraph/prompt:prompt=61; session:flamegraph/prompt:design=56; session:paper/prompt:debug=38; session:flamegraph/prompt:branch=24; session:session/prompt:trace=23; session:paper/prompt:pr=20; session:paper/prompt:paper=15; session:session/prompt:subagent=13,project:agentsight;agent:codex;tool:shell;cmd:git;effect:read;status:ok
nonsemantic_without_session_prompt,2,61,11,session:flamegraph/prompt:prompt=20; session:flamegraph/prompt:design=13; session:paper/prompt:debug=6; session:paper/prompt:inspect=6; session:flamegraph/prompt:flamegraph=4; session:paper/prompt:pr=4; session:session/prompt:trace=4; session:flamegraph/prompt:session=1,project:agentsight;agent:codex;tool:tool;cmd:write;effect:process;status:observed
nonsemantic_without_session_prompt,3,57,7,session:flamegraph/prompt:design=13; session:flamegraph/prompt:flamegraph=11; session:paper/prompt:debug=11; session:session/prompt:trace=8; session:paper/prompt:session=6; session:flamegraph/prompt:prompt=5; session:paper/prompt:pr=3,project:agentsight;agent:codex;tool:shell;cmd:python3;effect:process;status:ok
nonsemantic_without_session_prompt,4,48,9,session:paper/prompt:inspect=13; session:paper/prompt:debug=10; session:session/prompt:paper=8; session:paper/prompt:pr=6; session:session/prompt:trace=3; session:session/prompt:inspect=3; session:paper/prompt:work=2; session:session/prompt:subagent=2,project:agentsight;agent:codex;tool:shell;cmd:gh;effect:process;status:ok
nonsemantic_without_session_prompt,5,48,2,session:flamegraph/prompt:prompt=47; session:flamegraph/prompt:repoadmin=1,project:agentsight;agent:codex;tool:shell;cmd:sed;effect:read;path:agentflame/src;status:ok
nonsemantic_without_session_prompt,6,47,7,session:paper/prompt:debug=20; session:session/prompt:trace=12; session:session/prompt:session=7; session:flamegraph/prompt:design=3; session:flamegraph/prompt:prompt=2; session:paper/prompt:session=2; session:flamegraph/prompt:session=1,project:agentsight;agent:codex;tool:shell;cmd:sed;effect:read;path:collector/src/view;status:ok
nonsemantic_without_session_prompt,7,47,5,session:flamegraph/prompt:design=31; session:flamegraph/prompt:prompt=7; session:flamegraph/prompt:work=4; session:flamegraph/prompt:flamegraph=3; session:flamegraph/prompt:branch=2,project:agentsight;agent:codex;tool:shell;cmd:python3;effect:process;path:docs/visexp/out;status:ok
nonsemantic_without_session_prompt,8,46,5,session:flamegraph/prompt:paper=16; session:reviewdoc/prompt:reviewdoc=10; session:reviewing/prompt:prompt=7; session:osdi/prompt:prompt=7; session:flamegraph/prompt:flamegraph=6,project:agentsight;agent:codex-subagent;tool:shell;cmd:nl;effect:read;path:docs/visexp/out;status:ok
nonsemantic_without_session_prompt,9,45,10,session:flamegraph/prompt:design=16; session:flamegraph/prompt:prompt=7; session:paper/prompt:paper=6; session:paper/prompt:inspect=5; session:paper/prompt:debug=3; session:flamegraph/prompt:flamegraph=2; session:flamegraph/prompt:repoadmin=2; session:session/prompt:session=2,project:agentsight;agent:codex;tool:tool;cmd:write;effect:process;status:ok
nonsemantic_without_session_prompt,10,43,5,session:flamegraph/prompt:design=32; session:flamegraph/prompt:prompt=5; session:flamegraph/prompt:flamegraph=3; session:flamegraph/prompt:work=2; session:flamegraph/prompt:branch=1,project:agentsight;agent:codex;tool:shell;cmd:python3;effect:process;path:docs/visexp/test_semantic_tag_flamegraph.py;status:ok
nonsemantic_without_session_prompt,11,37,11,session:flamegraph/prompt:design=13; session:flamegraph/prompt:prompt=13; session:flamegraph/prompt:branch=3; session:flamegraph/prompt:work=1; session:flamegraph/prompt:llmtag=1; session:paper/prompt:pr=1; session:paper/prompt:paper=1; session:paper/prompt:debug=1,project:agentsight;agent:codex;tool:shell;cmd:git;effect:repo;status:ok
nonsemantic_without_session_prompt,12,36,5,session:paper/prompt:debug=27; session:session/prompt:session=5; session:paper/prompt:pr=2; session:paper/prompt:session=1; session:paper/prompt:paper=1,project:agentsight;agent:codex;tool:shell;cmd:cargo;effect:test;status:ok
nonsemantic_without_session_prompt,13,34,4,session:osdi/prompt:prompt=16; session:reviewing/prompt:prompt=8; session:reviewdoc/prompt:reviewdoc=6; session:flamegraph/prompt:paper=4,project:agentsight;agent:codex-subagent;tool:shell;cmd:nl;effect:read;path:docs/visexp/semantic_tag_flamegraph.py;status:ok
nonsemantic_without_session_prompt,14,33,5,session:flamegraph/prompt:prompt=17; session:flamegraph/prompt:design=12; session:flamegraph/prompt:flamegraph=2; session:flamegraph/prompt:work=1; session:flamegraph/prompt:evaluation=1,project:agentsight;agent:codex;tool:shell;cmd:rg;effect:read;path:docs/visexp;status:ok
nonsemantic_without_session_prompt,15,30,5,session:flamegraph/prompt:prompt=13; session:session/prompt:session=11; session:session/prompt:trace=4; session:flamegraph/prompt:session=1; session:paper/prompt:session=1,project:agentsight;agent:codex;tool:shell;cmd:sed;effect:read;path:collector/src/sources;status:ok
flat_effect_without_project_agent_session_prompt,1,325,23,session:flamegraph/prompt:prompt=61; session:flamegraph/prompt:design=56; session:paper/prompt:debug=41; session:flamegraph/prompt:branch=24; session:session/prompt:trace=23; session:paper/prompt:pr=20; session:paper/prompt:paper=16; session:session/prompt:subagent=13,tool:shell;cmd:git;effect:read;status:ok
flat_effect_without_project_agent_session_prompt,2,65,8,session:paper/prompt:debug=28; session:subagent/prompt:collector=14; session:model/prompt:work=9; session:session/prompt:session=5; session:model/prompt:session=5; session:paper/prompt:pr=2; session:paper/prompt:session=1; session:paper/prompt:paper=1,tool:shell;cmd:cargo;effect:test;status:ok
flat_effect_without_project_agent_session_prompt,3,64,10,session:flamegraph/prompt:design=13; session:flamegraph/prompt:flamegraph=11; session:paper/prompt:debug=11; session:session/prompt:trace=8; session:paper/prompt:session=6; session:flamegraph/prompt:prompt=5; session:reviewing/prompt:prompt=4; session:paper/prompt:pr=3,tool:shell;cmd:python3;effect:process;status:ok
flat_effect_without_project_agent_session_prompt,4,61,11,session:flamegraph/prompt:prompt=20; session:flamegraph/prompt:design=13; session:paper/prompt:debug=6; session:paper/prompt:inspect=6; session:flamegraph/prompt:flamegraph=4; session:paper/prompt:pr=4; session:session/prompt:trace=4; session:flamegraph/prompt:session=1,tool:tool;cmd:write;effect:process;status:observed
flat_effect_without_project_agent_session_prompt,5,49,10,session:paper/prompt:inspect=13; session:paper/prompt:debug=10; session:session/prompt:paper=8; session:paper/prompt:pr=6; session:session/prompt:trace=3; session:session/prompt:inspect=3; session:paper/prompt:work=2; session:session/prompt:subagent=2,tool:shell;cmd:gh;effect:process;status:ok
flat_effect_without_project_agent_session_prompt,6,49,7,session:flamegraph/prompt:design=31; session:flamegraph/prompt:prompt=7; session:flamegraph/prompt:work=4; session:flamegraph/prompt:flamegraph=3; session:flamegraph/prompt:branch=2; session:reviewing/prompt:prompt=1; session:osdi/prompt:prompt=1,tool:shell;cmd:python3;effect:process;path:docs/visexp/out;status:ok
flat_effect_without_project_agent_session_prompt,7,48,2,session:flamegraph/prompt:prompt=30; session:reviewdoc/prompt:reviewdoc=18,tool:shell;cmd:jq;effect:read;path:.agentsight/agentflame;status:ok
flat_effect_without_project_agent_session_prompt,8,48,2,session:flamegraph/prompt:prompt=47; session:flamegraph/prompt:repoadmin=1,tool:shell;cmd:sed;effect:read;path:agentflame/src;status:ok
flat_effect_without_project_agent_session_prompt,9,47,11,session:flamegraph/prompt:design=16; session:flamegraph/prompt:prompt=7; session:paper/prompt:paper=7; session:paper/prompt:inspect=5; session:paper/prompt:debug=3; session:flamegraph/prompt:flamegraph=2; session:flamegraph/prompt:repoadmin=2; session:session/prompt:session=2,tool:tool;cmd:write;effect:process;status:ok
flat_effect_without_project_agent_session_prompt,10,47,7,session:paper/prompt:debug=20; session:session/prompt:trace=12; session:session/prompt:session=7; session:flamegraph/prompt:design=3; session:flamegraph/prompt:prompt=2; session:paper/prompt:session=2; session:flamegraph/prompt:session=1,tool:shell;cmd:sed;effect:read;path:collector/src/view;status:ok
flat_effect_without_project_agent_session_prompt,11,47,5,session:flamegraph/prompt:paper=16; session:reviewdoc/prompt:reviewdoc=10; session:reviewing/prompt:prompt=7; session:osdi/prompt:prompt=7; session:flamegraph/prompt:flamegraph=7,tool:shell;cmd:nl;effect:read;path:docs/visexp/out;status:ok
