annotator,run,fragment_id,kind,source,model,text_chars,tag,valid,generic
fallback,0,a9c522de28304263,prompt,codex-subagent,gpt-5.5,180,paper,True,False
fallback,0,b869d91ad3d1de1b,session,codex-subagent,gpt-5.5,185,paper,True,False
fallback,0,58c9dbf92b7ca7ab,llm,codex-subagent,gpt-5.5,140,paper,True,False
fallback,0,99113865a33c4c55,prompt,codex-subagent,gpt-5.5,179,flamegraph,True,False
fallback,0,e49a9c95c3f6a844,session,codex-subagent,gpt-5.5,184,flamegraph,True,False
fallback,0,596abdc4f00f2187,llm,codex-subagent,gpt-5.5,139,paper,True,False
fallback,0,103073913b173c6e,prompt,codex-subagent,gpt-5.5,180,flamegraph,True,False
fallback,0,0cee5b2683769424,session,codex-subagent,gpt-5.5,185,flamegraph,True,False
fallback,0,2df23e7b2b194ed5,llm,codex-subagent,gpt-5.5,139,paper,True,False
fallback,0,e92eb1bb7a312ad6,prompt,codex-subagent,gpt-5.5,180,paper,True,False
fallback,0,397d72052517d166,session,codex-subagent,gpt-5.5,185,flamegraph,True,False
fallback,0,18a5868afc234061,llm,codex-subagent,gpt-5.5,140,paper,True,False
fallback,0,7f071316437fc41b,prompt,codex-subagent,gpt-5.5,180,paper,True,False
fallback,0,9d24d3b8cbe00c2e,session,codex-subagent,gpt-5.5,185,paper,True,False
fallback,0,f22558c02db8af7e,llm,codex-subagent,gpt-5.5,139,paper,True,False
fallback,0,18fc80ae391c63cb,prompt,codex-subagent,gpt-5.5,180,paper,True,False
fallback,0,401e892797685de1,session,codex-subagent,gpt-5.5,547,paper,True,False
fallback,0,8b0954324c3e2299,llm,codex-subagent,gpt-5.5,140,paper,True,False
fallback,0,d57a089c0c860b54,prompt,codex-subagent,gpt-5.5,180,paper,True,False
fallback,0,922f39744e4630e5,session,codex,gpt-5.5,184,session,True,True
fallback,0,5c8d10f7a4ca60bd,llm,codex-subagent,gpt-5.5,140,flamegraph,True,False
fallback,0,dfe2920398482883,prompt,codex,gpt-5.5,179,session,True,True
fallback,0,53f686e29762054b,session,codex,gpt-5.5,292,flamegraph,True,False
fallback,0,ecd74c36ae22a6a7,llm,codex-subagent,gpt-5.5,140,paper,True,False
fallback,1,a9c522de28304263,prompt,codex-subagent,gpt-5.5,180,paper,True,False
fallback,1,b869d91ad3d1de1b,session,codex-subagent,gpt-5.5,185,paper,True,False
fallback,1,58c9dbf92b7ca7ab,llm,codex-subagent,gpt-5.5,140,paper,True,False
fallback,1,99113865a33c4c55,prompt,codex-subagent,gpt-5.5,179,flamegraph,True,False
fallback,1,e49a9c95c3f6a844,session,codex-subagent,gpt-5.5,184,flamegraph,True,False
fallback,1,596abdc4f00f2187,llm,codex-subagent,gpt-5.5,139,paper,True,False
fallback,1,103073913b173c6e,prompt,codex-subagent,gpt-5.5,180,flamegraph,True,False
fallback,1,0cee5b2683769424,session,codex-subagent,gpt-5.5,185,flamegraph,True,False
fallback,1,2df23e7b2b194ed5,llm,codex-subagent,gpt-5.5,139,paper,True,False
fallback,1,e92eb1bb7a312ad6,prompt,codex-subagent,gpt-5.5,180,paper,True,False
fallback,1,397d72052517d166,session,codex-subagent,gpt-5.5,185,flamegraph,True,False
fallback,1,18a5868afc234061,llm,codex-subagent,gpt-5.5,140,paper,True,False
fallback,1,7f071316437fc41b,prompt,codex-subagent,gpt-5.5,180,paper,True,False
fallback,1,9d24d3b8cbe00c2e,session,codex-subagent,gpt-5.5,185,paper,True,False
fallback,1,f22558c02db8af7e,llm,codex-subagent,gpt-5.5,139,paper,True,False
fallback,1,18fc80ae391c63cb,prompt,codex-subagent,gpt-5.5,180,paper,True,False
fallback,1,401e892797685de1,session,codex-subagent,gpt-5.5,547,paper,True,False
fallback,1,8b0954324c3e2299,llm,codex-subagent,gpt-5.5,140,paper,True,False
fallback,1,d57a089c0c860b54,prompt,codex-subagent,gpt-5.5,180,paper,True,False
fallback,1,922f39744e4630e5,session,codex,gpt-5.5,184,session,True,True
fallback,1,5c8d10f7a4ca60bd,llm,codex-subagent,gpt-5.5,140,flamegraph,True,False
fallback,1,dfe2920398482883,prompt,codex,gpt-5.5,179,session,True,True
fallback,1,53f686e29762054b,session,codex,gpt-5.5,292,flamegraph,True,False
fallback,1,ecd74c36ae22a6a7,llm,codex-subagent,gpt-5.5,140,paper,True,False
llama,0,a9c522de28304263,prompt,codex-subagent,gpt-5.5,180,review,True,False
llama,0,b869d91ad3d1de1b,session,codex-subagent,gpt-5.5,185,reviewdoc,True,False
llama,0,58c9dbf92b7ca7ab,llm,codex-subagent,gpt-5.5,140,evaluate,True,False
llama,0,99113865a33c4c55,prompt,codex-subagent,gpt-5.5,179,prompt,True,True
llama,0,e49a9c95c3f6a844,session,codex-subagent,gpt-5.5,184,reviewtag,True,False
llama,0,596abdc4f00f2187,llm,codex-subagent,gpt-5.5,139,validate,True,False
llama,0,103073913b173c6e,prompt,codex-subagent,gpt-5.5,180,prompt,True,True
llama,0,0cee5b2683769424,session,codex-subagent,gpt-5.5,185,reviewdoc,True,False
llama,0,2df23e7b2b194ed5,llm,codex-subagent,gpt-5.5,139,evaluate,True,False
llama,0,e92eb1bb7a312ad6,prompt,codex-subagent,gpt-5.5,180,reviewdoc,True,False
llama,0,397d72052517d166,session,codex-subagent,gpt-5.5,185,reviewdoc,True,False
llama,0,18a5868afc234061,llm,codex-subagent,gpt-5.5,140,verifydoc,True,False
llama,0,7f071316437fc41b,prompt,codex-subagent,gpt-5.5,180,prompt,True,True
llama,0,9d24d3b8cbe00c2e,session,codex-subagent,gpt-5.5,185,reviewdoc,True,False
llama,0,f22558c02db8af7e,llm,codex-subagent,gpt-5.5,139,llm,True,False
llama,0,18fc80ae391c63cb,prompt,codex-subagent,gpt-5.5,180,reviewing,True,False
llama,0,401e892797685de1,session,codex-subagent,gpt-5.5,547,reviewing,True,False
llama,0,8b0954324c3e2299,llm,codex-subagent,gpt-5.5,140,reviewing,True,False
llama,0,d57a089c0c860b54,prompt,codex-subagent,gpt-5.5,180,revise,True,False
llama,0,922f39744e4630e5,session,codex,gpt-5.5,184,reporting,True,False
llama,0,5c8d10f7a4ca60bd,llm,codex-subagent,gpt-5.5,140,codexeval,True,False
llama,0,dfe2920398482883,prompt,codex,gpt-5.5,179,prompt,True,True
llama,0,53f686e29762054b,session,codex,gpt-5.5,292,aianalysis,True,False
llama,0,ecd74c36ae22a6a7,llm,codex-subagent,gpt-5.5,140,audit,True,False
llama,1,a9c522de28304263,prompt,codex-subagent,gpt-5.5,180,review,True,False
llama,1,b869d91ad3d1de1b,session,codex-subagent,gpt-5.5,185,reviewdoc,True,False
llama,1,58c9dbf92b7ca7ab,llm,codex-subagent,gpt-5.5,140,evaluate,True,False
llama,1,99113865a33c4c55,prompt,codex-subagent,gpt-5.5,179,prompt,True,True
llama,1,e49a9c95c3f6a844,session,codex-subagent,gpt-5.5,184,reviewtag,True,False
llama,1,596abdc4f00f2187,llm,codex-subagent,gpt-5.5,139,validate,True,False
llama,1,103073913b173c6e,prompt,codex-subagent,gpt-5.5,180,prompt,True,True
llama,1,0cee5b2683769424,session,codex-subagent,gpt-5.5,185,reviewdoc,True,False
llama,1,2df23e7b2b194ed5,llm,codex-subagent,gpt-5.5,139,evaluate,True,False
llama,1,e92eb1bb7a312ad6,prompt,codex-subagent,gpt-5.5,180,reviewdoc,True,False
llama,1,397d72052517d166,session,codex-subagent,gpt-5.5,185,reviewdoc,True,False
llama,1,18a5868afc234061,llm,codex-subagent,gpt-5.5,140,verifydoc,True,False
llama,1,7f071316437fc41b,prompt,codex-subagent,gpt-5.5,180,prompt,True,True
llama,1,9d24d3b8cbe00c2e,session,codex-subagent,gpt-5.5,185,reviewdoc,True,False
llama,1,f22558c02db8af7e,llm,codex-subagent,gpt-5.5,139,llm,True,False
llama,1,18fc80ae391c63cb,prompt,codex-subagent,gpt-5.5,180,reviewing,True,False
llama,1,401e892797685de1,session,codex-subagent,gpt-5.5,547,reviewing,True,False
llama,1,8b0954324c3e2299,llm,codex-subagent,gpt-5.5,140,reviewing,True,False
llama,1,d57a089c0c860b54,prompt,codex-subagent,gpt-5.5,180,revise,True,False
llama,1,922f39744e4630e5,session,codex,gpt-5.5,184,reporting,True,False
llama,1,5c8d10f7a4ca60bd,llm,codex-subagent,gpt-5.5,140,codexeval,True,False
llama,1,dfe2920398482883,prompt,codex,gpt-5.5,179,prompt,True,True
llama,1,53f686e29762054b,session,codex,gpt-5.5,292,aianalysis,True,False
llama,1,ecd74c36ae22a6a7,llm,codex-subagent,gpt-5.5,140,audit,True,False
