run_id,key,actual,expected,status,source,paper_token
R320,datasets,4,4,pass,R320 totals,4
R320,tasks,6,6,pass,R320 totals,6
R320,operations,34539,34539,pass,R320 totals,"34,539"
R320,positives,3699,3699,pass,R320 totals,"3,699"
R320,policies,144,144,pass,R320 totals,144
R320,operation_stack_top5_work_median,0.0937,0.0937,pass,R320 policy-scores.csv,0.0937
R320,flat_top5_work_median,1.0,1.0,pass,R320 policy-scores.csv,1.0
R320,operation_stack_groups_median,157.5,157.5,pass,R320 policy-scores.csv,157.5
R320,fixed_session_groups_median,285.0,285.0,pass,R320 policy-scores.csv,285.0
R320,top5_recall_wins_vs_fixed,5,5,pass,R320 policy-scores.csv,5/6
R320,ap_wins_vs_width,6,6,pass,R320 policy-scores.csv,6/6
R333,operation_stack:query_aware_budget30_median_recall,0.39,0.39,pass,R333 policy-curve-summary.csv,0.3900
R333,flat:width_budget30_median_recall,0.0,0.0,pass,R333 policy-curve-summary.csv,0.0000
R333,fixed_session:query_aware_budget30_median_recall,0.3559,0.3559,pass,R333 policy-curve-summary.csv,0.3559
R333,dataset_native:query_aware_budget30_median_recall,0.3377,0.3377,pass,R333 policy-curve-summary.csv,0.3377
R333,raw_action_stack:query_aware_budget30_median_recall,0.3325,0.3325,pass,R333 policy-curve-summary.csv,0.3325
R334,groups_lower_than_fixed,4,4,pass,R334 default-fragmentation-comparisons.csv,4/6
R334,positive_groups_lower_than_fixed,4,4,pass,R334 default-fragmentation-comparisons.csv,4/6
R334,groups_to_50pct_lower_than_fixed,5,5,pass,R334 default-fragmentation-comparisons.csv,5/6
R334,work_to_50pct_lower_than_fixed,1,1,pass,R334 default-fragmentation-comparisons.csv,1/6
R334,top5_work_lower_than_fixed,2,2,pass,R334 default-fragmentation-comparisons.csv,2/6
R334,wtfp_lower_than_fixed,2,2,pass,R334 default-fragmentation-comparisons.csv,2/6
R334,budget30_groups_lower_than_fixed,5,5,pass,R334 budget-fragmentation-comparisons.csv,5/6
R334,budget30_groups_median_delta_vs_fixed,-54.0,-54.0,pass,R334 budget-fragmentation-comparisons.csv,-54.0
R335,actionability_cards,6,6,pass,R335 summary,6/6
R335,cards_with_optimization_action,6,6,pass,R335 summary,6/6
R335,cards_with_ranker_ap_gain,6,6,pass,R335 summary,6/6
R335,cards_with_positive_mapping_gain,2,2,pass,R335 summary,2/6
R335,cards_with_negative_mapping_gain,4,4,pass,R335 summary,4/6
R335,cards_with_critical_features,4,4,pass,R335 summary,4/6
R335,cards_with_misleading_features,2,2,pass,R335 summary,2/6
R335,cards_where_coarse_reduces_groups,6,6,pass,R335 summary,6/6
R335,cards_where_coarse_preferred_by_ap,2,2,pass,R335 summary,2/6
R335,cards_where_fixed_session_has_lower_wtfp,4,4,pass,R335 summary,4/6
R336,visible_policies,15,15,pass,R336 summary,15
R336,objectives,6,6,pass,R336 summary,6
R336,pareto_operation_stack_query_aware,6,6,pass,R336 summary,6/6
R336,best_ap_operation_stack_query_aware,3,3,pass,R336 summary,3/6
R336,best_budget30_operation_stack_query_aware,3,3,pass,R336 summary,3/6
R336,top5_work_lower_than_flat,6,6,pass,R336 summary.default_vs_baselines,6/6
R336,top5_recall_higher_than_fixed,5,5,pass,R336 summary.default_vs_baselines,5/6
R336,groups_to_50pct_lower_than_fixed,5,5,pass,R336 summary.default_vs_baselines,5/6
R336,work_to_first_positive_lower_than_fixed,2,2,pass,R336 summary.default_vs_baselines,2/6
R336,multiple_best_policies_across_objectives,6,6,pass,R336 summary,6/6
R337,target25_tasks_reached,6,6,pass,R337 summary,6/6
R337,target25_median_work,0.2,0.2,pass,R337 summary,0.2000
R337,target25_median_groups,16.0,16.0,pass,R337 summary,16.0
R337,target10_tasks_reached,6,6,pass,R337 summary,6/6
R337,target10_median_groups,12.5,12.5,pass,R337 summary,12.5
R337,target50_tasks_reached,5,5,pass,R337 summary,5/6
R337,flat_target25_median_work,1.0,1.0,pass,R337 summary,1.0000
R337,fixed_target25_median_groups,50.0,50.0,pass,R337 summary,50.0
R337,fixed_target10_median_groups,37.5,37.5,pass,R337 summary,37.5
R337,default_vs_flat_target25_work_wins,6,6,pass,R337 summary,6/6
R337,default_vs_fixed_target25_group_wins,5,5,pass,R337 summary,5/6
R337,default_vs_fixed_target10_group_wins,5,5,pass,R337 summary,5/6
R337,target25_csv_median_work,0.2,0.2,pass,R337 policy-target-summary.csv,0.2000
R337,target25_csv_group_wins_vs_fixed,5,5,pass,R337 default-target-comparisons.csv,5/6
R339,overall,pass,pass,pass,R339 summary,pass
R339,datasets,4,4,pass,R339 summary,4
R339,tasks,6,6,pass,R339 summary,6
R339,policies_scored,144,144,pass,R339 summary,144
R339,hidden_labels_used_only_for_scoring,True,True,pass,R339 summary,hidden labels only for scoring
R339,top5_median_operation_work,0.0937,0.0937,pass,R339 claim_summary.top5,0.0937
R339,top5_median_positive_session_recall,0.2629,0.2629,pass,R339 claim_summary.top5,0.2629
R339,top5_fixed_positive_session_recall,0.016,0.016,pass,R339 claim_summary.top5,0.0160
R339,top5_flat_operation_work,1.0,1.0,pass,R339 claim_summary.top5,1.0000
R339,budget30_median_positive_operation_recall,0.39,0.39,pass,R339 claim_summary.budget30,0.3900
R339,budget30_median_positive_session_recall,0.4669,0.4669,pass,R339 claim_summary.budget30,0.4669
R339,budget30_median_session_work,0.3467,0.3467,pass,R339 claim_summary.budget30,0.3467
R339,budget30_fixed_positive_session_recall,0.323,0.323,pass,R339 claim_summary.budget30,0.3230
R339,budget30_raw_action_positive_session_recall,0.5147,0.5147,pass,R339 claim_summary.budget30,0.5147
R339,budget30_raw_action_session_work,0.9103,0.9103,pass,R339 claim_summary.budget30,0.9103
R339,top5_operation_work_lt_flat_tasks,6,6,pass,R339 claim_summary.paired_checks,6/6
R339,budget30_session_recall_gt_fixed_tasks,6,6,pass,R339 claim_summary.paired_checks,6/6
R339,budget30_session_work_lt_raw_action_tasks,5,5,pass,R339 claim_summary.paired_checks,5/6
R339,csv_default_median_top5_operation_work,0.0937,0.0937,pass,R339 policy-sequence-summary.csv,0.0937
R339,csv_default_median_top5_positive_session_recall,0.2629,0.2629,pass,R339 policy-sequence-summary.csv,0.2629
R339,csv_default_median_budget30_positive_operation_recall,0.39,0.39,pass,R339 policy-sequence-summary.csv,0.3900
R339,csv_default_median_budget30_positive_session_recall,0.4669,0.4669,pass,R339 policy-sequence-summary.csv,0.4669
R339,csv_default_median_budget30_session_work,0.3467,0.3467,pass,R339 policy-sequence-summary.csv,0.3467
