doc,key,source,tokens,status,lines
evaluation,R320 headline operations,R320,"34,539 / 34539",pass,"15,139,161,295,327,392,399,401"
evaluation,R320 top5 work,R320,0.0937 / 9.37%,pass,"15,103,105,111,162,218,261,327"
evaluation,R333 budget30 recall,R333,0.3900 / 0.39,pass,"221,327,422,498"
evaluation,R334 fragmentation,R334,5/6 / -54.0 / fewer groups,pass,"15,53,54,71,99,103,105,109"
evaluation,R335 actionability,R335,actionability / 6/6 / optimization,pass,"5,15,57,76,85,87,99,100"
evaluation,R336 visible policies,R336,15 visible / 15 个 / 6 diagnostic,pass,"101,327,425,429,434"
evaluation,R337 fixed recall,R337,25% / 0.2000 / 16.0,pass,"204,206,327,426"
evaluation,R339 sequence adequacy,R339,R339 / 0.4669 / 0.9103,pass,"13,15,214,222,225,229,327,427"
evaluation,R340 policy transfer,R340,R340 / 96 / 62/96 / 72/96,pass,"108,109,125,127,228,231,232,233"
evaluation,R341 mechanism attribution,R341,R341 / 36/36 / 27/36 / 34/96,pass,"15,100,106,107,111,241,242,243"
evaluation,R342 profile spec composition,R342,R342 / 12/12 / 9/12 / 0.8267,pass,"12,78,80,83,85,324,327,329"
evaluation,R344 metric consistency,R344,R344 / 30 / 16 / groups,pass,"12,13,15,39,41,50,64,79"
evaluation,R345 diagnostic lens portfolio,R345,R345 / 6 diagnostic lenses / 11/36 / 25/36,pass,"15,100,101,102,106,107,327,427"
evaluation,R346 diagnostic casebook,R346,R346 / 30 case groups / 5/6 / 1.6508,pass,"15,53,54,71,99,102,103,105"
evaluation,R347 case baseline contrast,R347,R347 / 5 visible views / 6/6 / 5/6 / 4/6,pass,"15,41,45,53,54,70,71,72"
evaluation,R348 action counterfactual,R348,R348 / 36 objective rows / 27/36 / 0.1447,pass,"15,100,101,106,107,108,109,110"
evaluation,R349 held-out action transfer,R349,R349 / 60 aligned / 35/60 / 7/60 / 2/42,pass,"15,108,109,110,111,249,250,251"
evaluation,R350 evidence packet budget,R350,R350 / 6/6 / 4/6 / 27/36 / 35/60,pass,"15,41,45,53,54,70,72,85"
zh_main,R320 headline,R320,0.0937 / 9.37 / 285.0 / 157.5,pass,"63,73,79,82,404,411,421,422"
zh_main,R333 headline,R333,0.3900 / 0.390,pass,"68,399,451,483,517,588,706"
zh_main,R337 headline,R337,0.2000 / 16.0 / 50.0,pass,"72,482,591,710"
zh_main,R339 headline,R339,0.4669 / 0.9103 / 0.3467,pass,"73,483,592,711"
zh_main,R340 headline,R340,R340 / 62/96 / 72/96 / 69/96,pass,"74,484,485,492,578,593,606,712"
zh_main,R341 headline,R341,R341 / 36/36 / 27/36 / 34/96,pass,"75,81,82,485,488,491,493,578"
zh_main,R342 headline,R342,R342 / 12/12 / 9/12 / 0.8267,pass,"76,486,579,595"
