source,role,path,status,sha256
english_paper,paper_or_doc,docs/agentpprof-paper/main.tex,tracked_hashed,96ff7ef1a9c9e3f04de862838c35239fd01453861741014705bf535e7aa8bd4c
chinese_paper,paper_or_doc,docs/visexp/paper/main.tex,tracked_hashed,325bcd68b53d2808821e1320c58f5db40bd249ad52c5735469b72fcfa5422082
claim_setup,paper_or_doc,docs/visexp/paper/evaluation-claims-setup.zh-CN.md,tracked_hashed,9a2e30be577744dc90d87b5a0dc8d454ab238b27d990e835583d0036f8e2dbc1
design,paper_or_doc,docs/design.md,tracked_hashed,56aba7095d411b377e9018a2233f5338a9193207e0b8be9f72f335e4ae6d9b40
implementation,paper_or_doc,docs/implementation.md,tracked_hashed,49ef58aececd95f4557b069769338eaa2d85fb2d878ba820f17ef8374bc180a8
evaluation,paper_or_doc,docs/evaluation.md,tracked_hashed,7a62e502f5a3e55ab2c1a7f0d18a969b7436314dbd22fc4d7e313dca9db17c25
r351,tracked_hashed_audit_artifact,docs/visexp/out/paper-reviewer-acceptance-r351/reviewer-acceptance.json,tracked_hashed,be1d9b36b997e05a63d54211435951f5d5f785c59927127bb41346e2ac11b966
r351_run,tracked_hashed_audit_artifact,docs/visexp/out/paper-reviewer-acceptance-r351/run-result.json,tracked_hashed,bbec5a781b54f793c450d06bc9d81326de0173deb4070578100993960c42726b
r352,tracked_hashed_audit_artifact,docs/visexp/out/paper-evaluation-rubric-r352/evaluation-rubric-report.json,tracked_hashed,aa43985d159206523a4c74122523b8960b5d4866024135ac02a64a0b7113baa1
r352_run,tracked_hashed_audit_artifact,docs/visexp/out/paper-evaluation-rubric-r352/run-result.json,tracked_hashed,ecbeae587f117544d4e288ef2aa23250cbfec5d77a28864bce5ed7758d790fa4
r354,tracked_clean_empirical_artifact,docs/visexp/out/operation-profile-patch-r354/profile-patch-report.json,tracked_clean,6585af0a77956fa56b8aadec29f822714789b5bfcdf1769fcd61ba3d0c1994ad
r354_run,tracked_clean_empirical_artifact,docs/visexp/out/operation-profile-patch-r354/run-result.json,tracked_clean,e6198c6ff607254991550adebf412d948f36d13916cbdf72c0487e653a81aacf
r355,tracked_clean_empirical_artifact,docs/visexp/out/operation-oracle-depth-adequacy-r355/oracle-depth-adequacy-report.json,tracked_clean,59b32c9cb9f00000984ae19376ac9aa411ad7b1c9a679ef3d0306017e5def00a
r355_run,tracked_clean_empirical_artifact,docs/visexp/out/operation-oracle-depth-adequacy-r355/run-result.json,tracked_clean,b118f397e38b5a443556c2c77709aecb045cf9e4e5b6c8615ec1c5e5a9eb8eac
r356,tracked_hashed_audit_artifact,docs/visexp/out/paper-claim-integrity-r356/claim-integrity-r356-report.json,tracked_hashed,1adadb3867c0733e889e8fc717848668eaccde2e78f730d4e6830a747640b0bf
r356_run,tracked_hashed_audit_artifact,docs/visexp/out/paper-claim-integrity-r356/run-result.json,tracked_hashed,bffa0162f2b5f12a89887cab0b4036c66cca674b2908d29488aad851a09a8192
r356_numbers,tracked_hashed_audit_artifact,docs/visexp/out/paper-claim-integrity-r356/number-checks.csv,tracked_hashed,59e68c56f45f0d421d42febec66bc9607fc5914694acdac483d81dc0771bd604
r356_text,tracked_hashed_audit_artifact,docs/visexp/out/paper-claim-integrity-r356/text-coverage.csv,tracked_hashed,8830785b76471d40ee118606522c50a25291b279618819d79ca9533ffa7a5137
r356_guardrails,tracked_hashed_audit_artifact,docs/visexp/out/paper-claim-integrity-r356/guardrail-checks.csv,tracked_hashed,1595b6249022363995c6edc794b27395cc2cba0d24c84f07c28463e069bc1343
r356_abstractions,tracked_hashed_audit_artifact,docs/visexp/out/paper-claim-integrity-r356/abstraction-text-checks.csv,tracked_hashed,d2e1776c1dab5883fcaa0c7dce1592ffb96610dfcdf075cffa41bb8a638ffc14
