participant_id,order_index,packet_id,task_id,condition,response_json,task_time_seconds,confidence,notes
P11,1,UT11-trace-tree,UT11,trace-tree,"{""condition"": ""trace-tree"", ""r259_export_smoke"": true, ""task_id"": ""UT11""}",1.0,3,r259_synthetic_export_smoke_not_human_evidence
P11,2,UT12-event-count-proxy,UT12,event-count-proxy,"{""condition"": ""event-count-proxy"", ""r259_export_smoke"": true, ""task_id"": ""UT12""}",1.0,3,r259_synthetic_export_smoke_not_human_evidence
P11,3,UT13-flat-summary,UT13,flat-summary,"{""condition"": ""flat-summary"", ""r259_export_smoke"": true, ""task_id"": ""UT13""}",1.0,3,r259_synthetic_export_smoke_not_human_evidence
P11,4,UT14-nonsemantic-stack,UT14,nonsemantic-stack,"{""condition"": ""nonsemantic-stack"", ""r259_export_smoke"": true, ""task_id"": ""UT14""}",1.0,3,r259_synthetic_export_smoke_not_human_evidence
P11,5,UT01-trace-tree,UT01,trace-tree,"{""condition"": ""trace-tree"", ""r259_export_smoke"": true, ""task_id"": ""UT01""}",1.0,3,r259_synthetic_export_smoke_not_human_evidence
P11,6,UT02-event-count-proxy,UT02,event-count-proxy,"{""condition"": ""event-count-proxy"", ""r259_export_smoke"": true, ""task_id"": ""UT02""}",1.0,3,r259_synthetic_export_smoke_not_human_evidence
P11,7,UT03-flat-summary,UT03,flat-summary,"{""condition"": ""flat-summary"", ""r259_export_smoke"": true, ""task_id"": ""UT03""}",1.0,3,r259_synthetic_export_smoke_not_human_evidence
P11,8,UT04-nonsemantic-stack,UT04,nonsemantic-stack,"{""condition"": ""nonsemantic-stack"", ""r259_export_smoke"": true, ""task_id"": ""UT04""}",1.0,3,r259_synthetic_export_smoke_not_human_evidence
P11,9,UT05-semantic-stack,UT05,semantic-stack,"{""condition"": ""semantic-stack"", ""r259_export_smoke"": true, ""task_id"": ""UT05""}",1.0,3,r259_synthetic_export_smoke_not_human_evidence
P11,10,UT06-trace-tree,UT06,trace-tree,"{""condition"": ""trace-tree"", ""r259_export_smoke"": true, ""task_id"": ""UT06""}",1.0,3,r259_synthetic_export_smoke_not_human_evidence
P11,11,UT07-event-count-proxy,UT07,event-count-proxy,"{""condition"": ""event-count-proxy"", ""r259_export_smoke"": true, ""task_id"": ""UT07""}",1.0,3,r259_synthetic_export_smoke_not_human_evidence
P11,12,UT08-flat-summary,UT08,flat-summary,"{""condition"": ""flat-summary"", ""r259_export_smoke"": true, ""task_id"": ""UT08""}",1.0,3,r259_synthetic_export_smoke_not_human_evidence
P11,13,UT09-nonsemantic-stack,UT09,nonsemantic-stack,"{""condition"": ""nonsemantic-stack"", ""r259_export_smoke"": true, ""task_id"": ""UT09""}",1.0,3,r259_synthetic_export_smoke_not_human_evidence
P11,14,UT10-semantic-stack,UT10,semantic-stack,"{""condition"": ""semantic-stack"", ""r259_export_smoke"": true, ""task_id"": ""UT10""}",1.0,3,r259_synthetic_export_smoke_not_human_evidence
