kind,token,present
chinese_source,主文图表形成一条固定证据路径,True
chinese_source,表~\ref{tab:results} 是四个 block 的 claim map,True
chinese_source,hidden-label fidelity 和 baseline tradeoff,True
chinese_source,mechanism/actionability,True
chinese_source,replay/cost 证据,True
chinese_source,补充的 portfolio、case 和 verdict 视图只用于解释这些主图表的数据来源、反例和适用边界,True
english_source,The main-paper displays follow this path,True
english_source,Table~\ref{tab:core-results} is the four-block claim map,True
english_source,provide hidden-label fidelity and baseline tradeoff evidence,True
english_source,provide mechanism/actionability evidence,True
english_source,provide replay and cost evidence,True
english_source,"Supporting materials contain the larger portfolio, case, verdict, and consistency tables",True
chinese_pdf,主文图表形成一条固定证据路径,True
chinese_pdf,四个 block 的 claim map,True
chinese_pdf,hidden-label fidelity 和 baseline tradeoff,True
chinese_pdf,mechanism/actionability,True
chinese_pdf,replay/cost 证据,True
chinese_pdf,适用边界,True
english_pdf,The main-paper displays follow this path,True
english_pdf,four-block claim map,True
english_pdf,hidden-label fidelity and baseline,True
english_pdf,mechanism/actionability evidence,True
english_pdf,provide replay,True
english_pdf,Supporting materials,True
english_non_claims,not a fifth core,True
english_non_claims,not a hidden-label accuracy result,True
english_non_claims,human productivity result,True
english_non_claims,not automatic boundary discovery,True
english_non_claims,complete ecosystem compatibility,True
